Geneid	Chr	Start	End	Strand	Length	/scratch/project_2000350/genomics/rna-seq/bam/S1_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S2_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S4_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S5_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S5_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S6_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S7_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S7_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S8_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S8_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S9_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S9_1_5.bam
NCU00106	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2641260;2642368;2642697;2642862;2643175;2643344	2642294;2642638;2642807;2643049;2643216;2643737	-;-;-;-;-;-	2041	296	261	358	536	320	434	792	329	549	366	458	250
NCU00107	Supercontig_12.3;Supercontig_12.3	2643856;2644882	2644797;2645250	+;+	1311	383	371	628	794	593	598	736	704	721	670	842	365
NCU00108	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2645177;2645800;2646821;2646971	2645743;2646726;2646910;2647379	-;-;-;-	1993	264	450	216	241	551	207	300	570	239	638	288	457
NCU00109	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2647472;2647472;2647631;2648868;2648868	2648790;2647563;2648790;2651685;2651685	+;+;+;+;+	4137	191	240	384	477	297	307	431	349	444	382	363	234
NCU00110	Supercontig_12.3	2649271	2652106	-	2836	8	10	17	3	11	10	19	2	4	4	6	14
NCU00111	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2652523;2653081;2653227	2653005;2653160;2653607	+;+;+	944	273	158	2181	2203	163	1617	1739	204	1886	210	1664	179
NCU00112	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2653457;2654470;2654784;2655934	2654412;2654731;2655867;2656458	-;-;-;-	2827	275	378	814	1117	293	1010	1104	379	1131	380	1017	313
NCU00114	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2662793;2663373;2664054;2664151;2664297	2663280;2663878;2664086;2664221;2664390	-;-;-;-;-	1192	2074	2226	1286	2063	2009	2161	3110	2464	2392	2488	2012	1782
NCU00115	Supercontig_12.3;Supercontig_12.3	2664560;2665578	2665364;2665948	-;-	1176	1829	1847	527	605	2532	717	732	2698	674	2620	526	1974
NCU00116	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2666273;2666331;2666336;2667042;2667055;2667272;2667272;2667272;2667366;2667366;2667366;2668136;2668136;2668136	2667205;2666503;2666503;2667205;2667205;2667285;2667285;2667285;2668070;2668070;2668070;2668603;2668662;2668603	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2179	593	585	1998	1909	552	1629	1761	736	1842	660	2157	565
NCU00117	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2668946;2669414;2669781;2669992;2670347;2670538;2670802;2672078	2669296;2669667;2669937;2670284;2670482;2670749;2671947;2672556	-;-;-;-;-;-;-;-	3028	329	373	753	918	338	956	1131	500	1069	446	916	343
NCU00118	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2674109;2674736;2674963;2675286;2675897;2676068;2676158;2676225;2676347;2676482;2676652	2674660;2674909;2675226;2675849;2676018;2676098;2676175;2676297;2676426;2676596;2677336	+;+;+;+;+;+;+;+;+;+;+	2678	24	12	27	16	6	12	16	12	34	20	28	22
NCU00119	Supercontig_12.3	2677399	2681273	-	3875	321	317	257	412	365	297	346	539	328	565	512	342
NCU00120	Supercontig_12.3	2681429	2685588	-	4160	101	88	122	142	95	133	179	92	142	136	146	71
NCU00121	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2686906;2688277;2690636;2690827	2688220;2690561;2690746;2691445	+;+;+;+	4330	2852	3292	2079	3346	2815	3044	3763	2906	3186	3583	2678	2889
NCU00122	Supercontig_12.3;Supercontig_12.3	2691298;2693200	2693100;2693631	-;-	2235	183	163	1134	1526	154	841	1232	199	1092	203	1168	127
NCU00123	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2699575;2699784;2700293;2700746;2701000	2699642;2700060;2700392;2700758;2701165	-;-;-;-;-	624	2	12	4	6	2	2	2	0	12	2	2	0
NCU00124	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2701237;2702428;2702652;2702815;2705867;2705867	2702597;2705796;2702754;2705796;2707472;2707472	+;+;+;+;+;+	6166	569	571	872	935	708	752	1105	823	836	724	1030	668
NCU00125	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2708593;2708615;2709425;2709425;2709886	2709348;2709348;2709813;2710766;2710874	+;+;+;+;+	2206	73	57	93	156	72	101	164	104	130	72	159	103
NCU00126	Supercontig_12.3;Supercontig_12.3	2711676;2712483	2712418;2714403	-;-	2664	519	557	601	618	601	691	731	744	798	674	738	543
NCU00127	Supercontig_12.3;Supercontig_12.3	2716864;2718028	2717971;2719590	+;+	2671	905	691	4981	5068	945	3070	3346	975	3774	964	4388	632
NCU00128	Supercontig_12.3;Supercontig_12.3	2722532;2722831	2722721;2726114	+;+	3474	7	27	244	146	7	78	87	10	107	22	197	15
NCU00129	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2727233;2727941;2728936	2727826;2728874;2729675	-;-;-	2268	89	116	365	650	101	303	461	102	530	109	555	84
NCU00130	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2730966;2730966;2732737;2732737;2732968	2732643;2732643;2733072;2732885;2733380	-;-;-;-;-	2322	24	6	218	324	4	284	244	22	229	11	267	14
NCU00132	Supercontig_12.3;Supercontig_12.3	2735106;2736206	2736106;2736627	-;-	1423	502	255	2397	2353	322	1495	1571	412	2101	460	2151	236
NCU00133	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2737574;2737988;2738267;2738819;2739248	2737831;2738210;2738760;2739190;2740109	+;+;+;+;+	2209	1072	1180	2589	3100	1262	2339	3522	1684	2934	1426	2952	892
NCU00134	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2740593;2741139;2741237;2742850;2742850	2741075;2742791;2742791;2744799;2744799	+;+;+;+;+	4086	858	917	544	784	998	675	833	1159	761	1379	637	998
NCU00135	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	2746013;2746013;2746475;2746475;2747242;2747242;2747801	2746400;2746400;2747068;2747068;2747823;2747694;2747962	-;-;-;-;-;-;-	1703	1551	1731	1812	2092	1814	2056	2353	2214	2160	2022	2222	1754
NCU00136	Supercontig_12.3;Supercontig_12.3	2748546;2750867	2750759;2751023	-;-	2371	6861	9324	1492	1810	9770	2152	2384	10952	2286	10055	1922	7153
